OrphaNumber,Disorder_Name,External_Source,External_ID,External_Mapping_Rel,External_Mapping_Status,Disorder_Synonyms
166024,"Multiple epiphyseal dysplasia, Al-Gazali type",OMIM,607131,E (Exact mapping: the two concepts are equivalent),Validated,Multiple epiphyseal dysplasia-macrocephaly-distinctive facies syndrome
58,Alexander disease,OMIM,203450,E (Exact mapping: the two concepts are equivalent),Validated,AxD
166032,"Multiple epiphyseal dysplasia, with miniepiphyses",OMIM,609325,E (Exact mapping: the two concepts are equivalent),Validated,
61,Alpha-mannosidosis,OMIM,248500,E (Exact mapping: the two concepts are equivalent),Validated,Lysosomal alpha-D-mannosidase deficiency
166029,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",OMIM,609324,E (Exact mapping: the two concepts are equivalent),Validated,
166038,"Metaphyseal chondrodysplasia, Kaitila type",OMIM,250230,E (Exact mapping: the two concepts are equivalent),Validated,
93,Aspartylglucosaminuria,OMIM,208400,E (Exact mapping: the two concepts are equivalent),Validated,Aspartylglucosaminidase deficiency
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,OMIM,250410,E (Exact mapping: the two concepts are equivalent),Validated,
585,Multiple sulfatase deficiency,OMIM,272200,E (Exact mapping: the two concepts are equivalent),Validated,"Juvenile sulfatidosis, Austin type|MSD|Mucosulfatidosis"
118,Beta-mannosidosis,OMIM,248510,E (Exact mapping: the two concepts are equivalent),Validated,Beta-mannosidase deficiency
166068,Pontocerebellar hypoplasia type 5,OMIM,610204,E (Exact mapping: the two concepts are equivalent),Validated,Fetal-onset olivopontocerebellar hypoplasia|PCH5
141,Canavan disease,OMIM,271900,E (Exact mapping: the two concepts are equivalent),Validated,ACY2 deficiency|Aminoacylase 2 deficiency|Aspartoacylase deficiency|Spongy degeneration of the brain
166063,Pontocerebellar hypoplasia type 4,OMIM,225753,E (Exact mapping: the two concepts are equivalent),Validated,Fatal infantile encephalopathy with olivopontocerebellar hypoplasia|Olivopontocerebellar hypoplasia|PCH4
166078,Von Willebrand disease type 1,OMIM,193400,E (Exact mapping: the two concepts are equivalent),Validated,
166073,Pontocerebellar hypoplasia type 6,OMIM,611523,E (Exact mapping: the two concepts are equivalent),Validated,Fatal infantile encephalopathy with mitochondrial respiratory chain defects|PCH6
213,Cystinosis,OMIM,219750,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Protein defect of cystin transport
213,Cystinosis,OMIM,219800,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Protein defect of cystin transport
213,Cystinosis,OMIM,219900,BTNT (ORPHA code's Broader Term maps to a Narrower Term),Validated,Protein defect of cystin transport
166084,Von Willebrand disease type 2A,OMIM,613554,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,
333,Farber disease,OMIM,228000,E (Exact mapping: the two concepts are equivalent),Validated,Acid ceramidase deficiency|Farber lipogranulomatosis
166081,Von Willebrand disease type 2,OMIM,613554,E (Exact mapping: the two concepts are equivalent),Validated,
349,Fucosidosis,OMIM,230000,E (Exact mapping: the two concepts are equivalent),Validated,Alpha-L-fucosidase deficiency
166090,Von Willebrand disease type 2M,OMIM,613554,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,
365,Glycogen storage disease due to acid maltase deficiency,OMIM,232300,E (Exact mapping: the two concepts are equivalent),Validated,"Alpha-1,4-glucosidase acid deficiency|GSD due to acid maltase deficiency|GSD type 2|GSD type II|Glycogen storage disease type 2|Glycogen storage disease type II|Glycogenosis due to acid maltase deficiency|Glycogenosis type 2|Glycogenosis type II|Pompe disease"
166087,Von Willebrand disease type 2B,OMIM,613554,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,OMIM,232400,E (Exact mapping: the two concepts are equivalent),Validated,"Amylo-1,6-glucosidase deficiency|Cori disease|Cori-Forbes disease|Forbes disease|GDE deficiency|GSD due to glycogen debranching enzyme deficiency|GSD type 3|GSDIII|Glycogen storage disease type 3|Glycogen storage disease type III|Glycogenosis due to glycogen debranching enzyme deficiency|Glycogenosis type 3|Glycogenosis type III|Limit dextrinosis"
166093,Von Willebrand disease type 2N,OMIM,613554,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Validated,
